Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
MSI Raider GE68 HX 13VG,,"15.60""",120 Hz,3840x2400,IPS,matte,16:10,141 PPI,,i9-13950HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.7 kg,27.9 mm,
"MSI Raider GE68 HX 13VG, i7-13700HX",,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i7-13700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.7 kg,27.9 mm,3200 Euro
MSI Raider GE68 HX 14VFG,,"16.00""",240 Hz,2560x1600,IPS,,16:10,189 PPI,,i7-14700HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.8 kg,27.85 mm,
MSI Raider GE68 HX 14VHG,,"17.30""",240 Hz,2560x1600,IPS,matte,16:10,175 PPI,,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,3.1 kg,28.8 mm,3200 Euro
MSI Raider GE68 HX 14VIG,,"16.00""",240 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i9-14900HX,NVIDIA GeForce RTX 4090 Laptop GPU,2.8 kg,27.85 mm,
MSI Raider GE68HX 13VF,,"16.00""",144 Hz,1900x1200,IPS,matte,16:10,140 PPI,302 cd/m²,i9-13950HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.7 kg,27.9 mm,1700 USD
MSI Raider GE76 12UGS-018NL,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.9 kg,25.9 mm,
MSI Raider GE76 12UGS-070,,"15.60""",240 Hz,2560x1440,OLED,matte,16:9,188 PPI,,i7-12800HX,GeForce RTX 3070 Ti Laptop GPU,2.9 kg,25.9 mm,2300 Euro
MSI Raider GE76 12UGS-493,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.9 kg,25.9 mm,
MSI Raider GE76 12UHS-214,,"17.30""",120 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i9-12900HK,GeForce RTX 3080 Ti Laptop GPU,2.9 kg,25.9 mm,5100 Euro
MSI Raider GE76 12UHS-293,,"17.30""",360 Hz,1920x1080,IPS,,16:9,127 PPI,,i7-12700H,GeForce RTX 3080 Ti Laptop GPU,2.9 kg,25.9 mm,
MSI Raider GE77 HX 12UGS,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-12800HX,GeForce RTX 3070 Ti Laptop GPU,2.9 kg,25.9 mm,
MSI Raider GE77 HX 12UHS,,"17.30""",120 Hz,3840x2160,IPS,matte,16:9,255 PPI,371 cd/m²,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,3.1 kg,25.9 mm,5200 Euro
MSI Raider GE77 HX 12UHS,,"17.30""",120 Hz,3840x2160,,matte,16:9,255 PPI,,i9-12900HX,UHD Graphics 770,,,
MSI Raider GE77 HX 12UHS,,"17.30""",120 Hz,3840x2160,,matte,16:9,255 PPI,,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,,,
MSI Raider GE77 HX 12UHS,,"17.30""",120 Hz,3840x2160,,matte,16:9,255 PPI,,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,,,
MSI Raider GE78 HX 13VI,,"17.00""",240 Hz,2560x1600,IPS,matte,16:10,178 PPI,,i9-13980HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.1 kg,28.8 mm,5100 Euro
MSI Raider GE78 HX 13VI,,"17.30""",240 Hz,2560x1600,,,16:10,175 PPI,,i9-13980HX,NVIDIA GeForce RTX 4090 Laptop GPU,,,
MSI Raider GE78 HX 13VI,,"17.30""",240 Hz,2560x1600,,,16:10,175 PPI,,i9-13980HX,NVIDIA GeForce RTX 4070 Laptop GPU,,,
MSI Raider GE78 HX 14VHG,,"17.30""",240 Hz,2560x1600,IPS,matte,16:10,175 PPI,,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,3.1 kg,28.8 mm,3600 Euro
MSI Stealth 14 AI Studio A1VGG,,"14.00""",240 Hz,2560x1600,IPS,,16:10,216 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4070 Laptop GPU,1.7 kg,21.8 mm,
MSI Stealth 14 Studio A13V,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,402 cd/m²,i7-13700H,NVIDIA GeForce RTX 4050 Laptop GPU,1.7 kg,19 mm,2400 Euro
MSI Stealth 14 Studio A13VE,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-13700H,NVIDIA GeForce RTX 4050 Laptop GPU,1.7 kg,19 mm,2350 Euro
MSI Stealth 14 Studio A13VF,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,1.7 kg,19 mm,
MSI Stealth 14 Studio A13VG,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-13700H,NVIDIA GeForce RTX 4070 Laptop GPU,1.7 kg,19 mm,
"MSI Stealth 14 Studio A13VG, i7-13620H",,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-13620H,NVIDIA GeForce RTX 4070 Laptop GPU,1.7 kg,19 mm,
MSI Stealth 15 A13VF,,"15.60""",240 Hz,2560x1440,,matte,16:9,188 PPI,,i7-13620H,NVIDIA GeForce RTX 4060 Laptop GPU,2.1 kg,19.9 mm,2350 Euro
MSI Stealth 15M A11SDK-032RU,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-1185G7,GeForce GTX 1660 Ti Max-Q,,,
MSI Stealth 15M A11SDK-085,,"15.60""",144 Hz,1920x1080,,matte,16:9,,,i7-1185G7,GeForce GTX 1660 Ti Max-Q,,,
MSI Stealth 15M A11SEK-055XES,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-1185G7,GeForce RTX 2060 Mobile,1.7 kg,15.9 mm,1300 Euro
MSI Stealth 15M A11UE,,"15.60""",144 Hz,1920x1080,,,16:9,,,i7-11375H,GeForce RTX 3060 Laptop GPU,1.7 kg,16.15 mm,
MSI Stealth 15M A11UEK-034,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11375H,GeForce RTX 3060 Laptop GPU,1.8 kg,16.1 mm,1800 Euro
MSI Stealth 15M A11UEK-083RU,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11375H,GeForce RTX 3060 Laptop GPU,1.8 kg,16.1 mm,
MSI Stealth 15M B12UE,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-1280P,GeForce RTX 3060 Laptop GPU,1.9 kg,18.35 mm,1700 Euro
MSI Stealth 16 AI Studio A1VHG,,"16.00""",240 Hz,2560x1600,IPS,,16:10,189 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4080 Laptop GPU,2 kg,19.95 mm,
MSI Stealth 16 Studio A13VF,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i7-13620H,NVIDIA GeForce RTX 4060 Laptop GPU,2 kg,19.95 mm,2800 Euro
"MSI Stealth 16 Studio A13VF, i9-13900H",,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,2 kg,19.95 mm,
MSI Stealth 16 Studio A13VG,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,411 cd/m²,i7-13700H,NVIDIA GeForce RTX 4070 Laptop GPU,2 kg,19.95 mm,3100 EUR
"MSI Stealth 16 Studio A13VG, i7-13620H",,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-13620H,NVIDIA GeForce RTX 4060 Laptop GPU,2.8 kg,20.8 mm,
MSI Stealth 17 Studio A13VH-014,,"17.30""",144 Hz,3840x2160,Mini LED,matte,16:9,255 PPI,392 cd/m²,i9-13900H,NVIDIA GeForce RTX 4080 Laptop GPU,3 kg,21.3 mm,5000 Euro
MSI Stealth 17 Studio A13VH-014 AI-Modus,,"17.30""",144 Hz,3840x2160,Mini LED,matte,16:9,255 PPI,,i9-13900H,NVIDIA GeForce RTX 4080 Laptop GPU,3 kg,21.3 mm,5000 Euro
MSI Stealth 17 Studio A13VH-053US,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i9-13900H,NVIDIA GeForce RTX 4080 Laptop GPU,2.8 kg,20.8 mm,2600 Euro
MSI Stealth 17 Studio A13VI,,"17.30""",144 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i7-13700HX,NVIDIA GeForce RTX 4090 Laptop GPU,2.8 kg,20.8 mm,
"MSI Stealth 17 Studio A13VI, i9-13900H",,"17.30""",144 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i9-13900H,NVIDIA GeForce RTX 4090 Laptop GPU,2.8 kg,20.8 mm,4500 Euro
MSI Stealth 17M A12UE,,"17.30""",144 Hz,1920x1080,IPS,,16:9,127 PPI,,i7-1280P,GeForce RTX 3060 Laptop GPU,2.2 kg,21.55 mm,
MSI Stealth 18 A1VHG,,"18.40""",120 Hz,3840x2400,OLED,glossy,16:10,246 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4080 Laptop GPU,2.8 kg,24 mm,4800 Euro
MSI Stealth 18 AI Studio A1VIG,,"18.00""",240 Hz,2560x1600,IPS,,16:10,168 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4090 Laptop GPU,2.9 kg,23.99 mm,
MSI Stealth GS66 12UGS,,"15.60""",240 Hz,2560x1440,IPS-Level,matte,16:9,188 PPI,253 cd/m²,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.2 kg,19.8 mm,3149 EUR
MSI Stealth GS66 12UGS-025,,"15.60""",360 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i9-12900H,GeForce RTX 3070 Ti Laptop GPU,2.1 kg,19.8 mm,2500 Euro
MSI Stealth GS77 12UGS-065,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.8 kg,20.8 mm,3200 Euro
MSI Stealth GS77 12UH-088ES,,"17.30""",360 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.8 kg,20.8 mm,3200 Euro
MSI Stealth GS77 12UHS-063,,"17.30""",120 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i9-12900H,GeForce RTX 3080 Ti Laptop GPU,2.8 kg,20.8 mm,5200 Euro
MSI Stealth GS77 12UHS-083US,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,305 cd/m²,i7-12700H,GeForce RTX 3080 Ti Laptop GPU,2.9 kg,20.8 mm,3700 USD
MSI Summit E13 Flip Evo A11MT,,"13.40""",120 Hz,1920x1200,IPS,glossy,16:10,169 PPI,517 cd/m²,i7-1185G7,Iris Xe G7 96EUs,1.4 kg,14.9 mm,1900 USD
MSI Summit E13 Flip Evo A12MT-059RU,,"13.40""",120 Hz,1920x1080,IPS,glossy,16:9,164 PPI,,i7-1280P,Iris Xe G7 96EUs,1.4 kg,14.9 mm,
MSI Summit E13 Flip Evo A13MT,,"13.40""",120 Hz,1920x1200,IPS,glossy,16:10,169 PPI,,i7-1360P,Iris Xe G7 96EUs,1.4 kg,14.9 mm,1850 Euro
MSI Summit E16 Flip A12UDT-006,,"16.00""",165 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i7-1260P,GeForce RTX 3050 Ti Laptop GPU,1.9 kg,16.85 mm,2000 Euro
MSI Summit E16 Flip A12UDT-031,,"16.00""",165 Hz,2560x1600,IPS,glossy,16:10,189 PPI,294 cd/m²,i7-1280P,GeForce RTX 3050 Ti Laptop GPU,1.9 kg,16.85 mm,2580 Euro
MSI Summit E16 Flip A13 VFT,,"16.00""",165 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i7-1360P,NVIDIA GeForce RTX 4060 Laptop GPU,2.1 kg,16.85 mm,2800 Euro
MSI Summit E16 Flip Evo A11UCT-028,,"16.00""",120 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i7-1195G7,GeForce RTX 3050 4GB Laptop GPU,2 kg,16.85 mm,
MSI Summit E16 Flip Evo A12MT,,"16.00""",165 Hz,1920x1080,IPS,glossy,16:9,138 PPI,,i7-1280P,Iris Xe G7 96EUs,1.9 kg,16.85 mm,1800 Euro
MSI Sword 15 A11UC,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 4GB Laptop GPU,2.1 kg,24.9 mm,
MSI Sword 15 A11UD,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,24.9 mm,
MSI Sword 15 A11UE,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.9 mm,
MSI Sword 15 A11UE-214PL,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.9 mm,
MSI Sword 15 A12UE,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12650H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.9 mm,
MSI Sword 15 A12UE-487XRU,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.3 kg,25 mm,
MSI Sword 16 HX B14VFKG,,"16.00""",144 Hz,1920x1200,IPS,matte,16:9,142 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4060 Laptop GPU,2.3 kg,27.7 mm,
"MSI Sword 16 HX B14VFKG, i9-14900HX",,"16.00""",144 Hz,1920x1200,IPS,matte,16:10,142 PPI,,i9-14900HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.3 kg,27.7 mm,
MSI Sword 16 HX B14VGKG,,"16.00""",144 Hz,1920x1200,IPS,matte,16:10,142 PPI,,i7-14700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.3 kg,27.7 mm,
MSI Sword 17 A11UC,,"17.30""",144 Hz,1920x1080,IPS,,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,25.2 mm,
MSI Sword 17 A11UD,,"17.30""",144 Hz,1920x1080,IPS,,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,25.2 mm,
MSI Sword 17 A12UD,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-12700H,GeForce RTX 3050 Ti Laptop GPU,2.6 kg,25.2 mm,
MSI Sword 17 HX B14VGKG,,"17.00""",240 Hz,2560x1600,IPS,,16:10,178 PPI,,i7-14700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.6 kg,27.3 mm,
MSI Thin 15 B12UC,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12650H,GeForce RTX 3050 6GB Laptop GPU,1.9 kg,21.7 mm,
MSI Thin 15 B13VE,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-13620H,NVIDIA GeForce RTX 4050 Laptop GPU,1.9 kg,21.7 mm,
MSI Thin A15 B7UC,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,R5 7535HS,GeForce RTX 3050 4GB Laptop GPU,1.9 kg,21.7 mm,
MSI Thin GF63 12UC-667, ,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12450H,GeForce RTX 3050 4GB Laptop GPU,1.9 kg,21.7 mm,599 Euro
MSI Thin GF63 12UC-667, ,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-12450H,UHD Graphics Xe G4 48EUs,,,
MSI Titan 18 HX A14VIG,,"18.00""",120 Hz,3840x2400,Mini-LED,matte,16:10,252 PPI,459 cd/m²,i9-14900HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.6 kg,32.1 mm,5000 USD
MSI Titan GT77 12UHS,,"17.30""",120 Hz,3840x2160,IPS,matte,16:9,255 PPI,401 cd/m²,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,3.4 kg,23 mm,5599 Euro
MSI Titan GT77 12UHS,,"17.30""",120 Hz,3840x2160,,matte,16:9,,,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,,,
MSI Titan GT77 12UHS,,"17.30""",360 Hz,1920x1080,IPS-Level,matte,16:9,127 PPI,275 cd/m²,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,3.3 kg,23 mm,
MSI Titan GT77 12UHS,,"17.30""",120 Hz,3840x2160,,matte,16:9,255 PPI,,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,,,
MSI Titan GT77 12UHS-010,,"17.30""",120 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,3.3 kg,23 mm,5600 Euro
MSI Titan GT77 12UHS-066RU,,"17.30""",120 Hz,3840x2160,,matte,16:9,255 PPI,,i9-12900HX,GeForce RTX 3080 Ti Laptop GPU,3.4 kg,33 mm,
MSI Titan GT77 HX 13VI,,"17.30""",144 Hz,3840x2160,Mini-LED,matte,16:9,255 PPI,602 cd/m²,i9-13950HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.5 kg,23 mm,6600 Euro
MSI Titan GT77 HX 13VI-044,,"17.30""",144 Hz,3840x2160,IPS,matte,16:9,255 PPI,,i9-13980HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.3 kg,23 mm,6600 Euro
MSI Vector 16 HX A13VHG,,"15.60""",240 Hz,2560x1600,IPS,matte,16:10,194 PPI,,i9-13980HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.7 kg,28.6 mm,2550 Euro
MSI Vector 16 HX A14V,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,506 cd/m²,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.7 kg,28.55 mm,2700 USD
MSI Vector 17 HX A14VGG,,"17.30""",240 Hz,2560x1600,IPS,,16:10,175 PPI,,i9-14900HX,NVIDIA GeForce RTX 4070 Laptop GPU,3 kg,29.45 mm,
MSI Vector GP66 12UGS,,"15.60""",360 Hz,1920x1080,IPS,matte,16:9,141 PPI,325 cd/m²,i9-12900H,GeForce RTX 3070 Ti Laptop GPU,2.3 kg,23.4 mm,
MSI Vector GP66 12UGS-207XFR,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.4 kg,23.4 mm,2800 Euro
MSI Vector GP66 12UGSO-671RU,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.4 kg,23.4 mm,
MSI Vector GP66 12UH-242,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3080 Laptop GPU,2.4 kg,23.4 mm,2650 Euro
MSI Vector GP68 HX 12VH,,"16.00""",144 Hz,1920x1200,IPS,matte,16:10,142 PPI,,i9-12900HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.7 kg,28.6 mm,2300 Euro
MSI Vector GP68 HX 13VH,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-13950HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.7 kg,28.55 mm,
MSI Vector GP76 12UE,,"17.30""",240 Hz,1920x1080,IPS,,16:9,127 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.9 kg,25.9 mm,
MSI Vector GP76 12UGS-434,,"17.30""",360 Hz,1920x1080,IPS,matte,16:9,127 PPI,264 cd/m²,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.9 kg,25.9 mm,2649 Euro
MSI Vector GP76 12UGS-491ES,,"17.30""",360 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.8 kg,25.9 mm,
MSI Vector GP76 12UGS-618,,"17.30""",360 Hz,1920x1080,,matte,16:9,127 PPI,,i9-12900HK,GeForce RTX 3070 Ti Laptop GPU,2.8 kg,25.9 mm,2800 Euro
MSI Vector GP77 13VF,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,2.8 kg,25.9 mm,
MSI Vector GP77 13VG,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-13700H,NVIDIA GeForce RTX 4070 Laptop GPU,2.8 kg,25.9 mm,
MSI Vector GP78 HX 13VH,,"17.00""",240 Hz,2560x1600,IPS,matte,16:10,,,i9-13980HX,NVIDIA GeForce RTX 4080 Laptop GPU,3 kg,29.5 mm,
MSI Vector GP78 HX 13VI,,"17.30""",165 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i9-13980HX,NVIDIA GeForce RTX 4090 Laptop GPU,3 kg,29.45 mm,
MSI WE76 11UM-456,,"17.30""",120 Hz,3840x2160,IPS,matte,16:9,255 PPI,416 cd/m²,i9-11980HK,RTX A5000 Laptop GPU,2.9 kg,25.9 mm,4799 Euro
MSI Pulse GL66 11UGK-001,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.3 kg,24.2 mm,1300 Euro
Nexoc GH7 716IG,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,277 cd/m²,i7-10750H,GeForce GTX 1660 Ti Mobile,2.5 kg,29.5 mm,1500 Euro
Nubia RedMagic Titan 16 Pro,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,516 cd/m²,i9-14900HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.4 kg,23.9 mm,1759 Euro
Nubia RedMagic Titan 16 Pro,,"16.00""",240 Hz,2560x1600,,matte,16:10,189 PPI,,i9-14900HX,NVIDIA GeForce RTX 4060 Laptop GPU,,,
NVIDIA GeForce RTX 4070 Super Founders Edition,,"28.00""",144 Hz,3840x2160,,matte,16:9,157 PPI,,i9-13900K,NVIDIA GeForce RTX 4070 SUPER,,,
NVIDIA GeForce RTX 4080 Founders Edition,,"27.00""",144 Hz,3840x2160,,,16:9,163 PPI,,i9-13900K,NVIDIA GeForce RTX 4080,,,
OnePlus Pad,,"11.61""",144 Hz,2800x2000,IPS,glossy,7:5,296 PPI,447 cd/m²,Dimensity 9000,Mali-G710 MP10,552 g,6.5 mm,443 Euro
OnePlus Pad Go,,"11.35""",090 Hz,2408x1720,IPS,glossy,14:10,261 PPI,,Helio G99,Mali-G57 MP2,532 g,6.9 mm,
OnePlus Pad Pro,,"12.10""",144 Hz,3000x2120,IPS,glossy,7:5,304 PPI,,SD 8 Gen 3,Adreno 750,584 g,6.5 mm,
Oppo Pad Neo,,"11.40""",090 Hz,2408x1720,IPS,glossy,14:10,260 PPI,,Helio G99,Mali-G57 MP2,538 g,6.9 mm,
Origin PC EON14-S 2023,,"14.00""",144 Hz,1920x1080,IPS,matte,16:9,157 PPI,,i9-13900H,NVIDIA GeForce RTX 4070 Laptop GPU,1.8 kg,21.4 mm,
"Origin PC Eon15-X 2020, R9 3900, RTX 2070",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R9 3900,GeForce RTX 2070 Mobile,2.7 kg,30.5 mm,2200 Euro
Origin PC EON17-X 2021,,"17.30""",300 Hz,1920x1080,,,16:9,127 PPI,,i9-11900K,GeForce RTX 3080 Laptop GPU,3.8 kg,43.18 mm,
Origin PC EON17-X 2023,,"17.30""",144 Hz,3840x2160,,matte,16:9,255 PPI,,i9-13900HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.3 kg,24.9 mm,
Origin PC EVO15-S 2020,,"15.60""",240 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-10875H,GeForce RTX 2080 Super Max-Q,2 kg,19.6 mm,
Origin PC EVO16-S 2023,,"16.10""",144 Hz,1920x1080,,matte,16:9,137 PPI,,i9-13900H,NVIDIA GeForce RTX 4070 Laptop GPU,2.5 kg,19.8 mm,
"Origin PC EVO16-S, R7 6800H RX 6650M XT",,"16.10""",144 Hz,1920x1080,,matte,16:9,137 PPI,,R7 6800H,Radeon RX 6650M XT,2.3 kg,19.8 mm,
"Origin PC EVO17-S 2022, i9 3080 Ti",,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i9-12900H,GeForce RTX 3080 Ti Laptop GPU,2.7 kg,19.8 mm,
Philips Evnia 34M2C8600, ,"34.00""",175 Hz,3440x1440,QD OLED,matte,21:9,,210 cd/m²,,,,,
Razer Blade 14 RTX 4060,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,,R9 7940HS,NVIDIA GeForce RTX 4060 Laptop GPU,1.8 kg,17.99 mm,2750 Euro
Razer Blade 14 RTX 4070,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,560 cd/m²,R9 7940HS,NVIDIA GeForce RTX 4070 Laptop GPU,1.8 kg,17.99 mm,2600 USD
Razer Blade 14 Ryzen 9 6900HX,,"14.00""",165 Hz,2560x1440,IPS,matte,16:9,210 PPI,328 cd/m²,R9 6900HX,GeForce RTX 3070 Ti Laptop GPU,1.8 kg,16.8 mm,2600 USD
Razer Blade 14 Ryzen 9 RTX 3060,,"14.00""",144 Hz,1920x1080,,,16:9,,,R9 5900HX,GeForce RTX 3060 Laptop GPU,1.8 kg,16.8 mm,
Razer Blade 14 Ryzen 9 RTX 3070,,"14.00""",165 Hz,2560x1440,IPS,matte,16:9,210 PPI,318 cd/m²,R9 5900HX,GeForce RTX 3070 Laptop GPU,1.8 kg,16.8 mm,2200 USD
Razer Blade 14 Ryzen 9 RTX 3080,,"14.00""",165 Hz,2560x1440,IPS,matte,16:9,210 PPI,,R9 5900HX,GeForce RTX 3080 Laptop GPU,1.8 kg,16.8 mm,3000 Euro
Razer Blade 14 Ryzen 9 RTX 3080 Ti,,"14.00""",165 Hz,2560x1440,IPS,matte,16:9,210 PPI,,R9 6900HX,GeForce RTX 3080 Ti Laptop GPU,1.8 kg,16.8 mm,3400 Euro
Razer Blade 14 RZ09-0508,,"14.00""",240 Hz,2560x1600,IPS,matte,16:10,216 PPI,466 cd/m²,R9 8945HS,NVIDIA GeForce RTX 4070 Laptop GPU,1.9 kg,17.99 mm,2700 USD
Razer Blade 15 2022,,"15.60""",240 Hz,2560x1440,IPS,matte,16:9,188 PPI,271 cd/m²,i7-12800H,GeForce RTX 3080 Ti Laptop GPU,2.1 kg,16.99 mm,3700 USD
Razer Blade 15 2022 RZ09-0421NGG3-R3G1,,"15.60""",240 Hz,2560x1440,OLED,matte,16:9,188 PPI,,i9-12900H,GeForce RTX 3070 Ti Laptop GPU,2 kg,16.99 mm,3650 Euro
Razer Blade 15 2023,,"15.60""",240 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-13800H,NVIDIA GeForce RTX 4060 Laptop GPU,2 kg,16.9 mm,2900 Euro
Razer Blade 15 Advanced (Mid 2021),,"15.60""",360 Hz,1920x1080,IPS,,16:9,141 PPI,340 cd/m²,i7-11800H,GeForce RTX 3080 Laptop GPU,2 kg,16.99 mm,3100 USD
"Razer Blade 15 Advanced Edition 2021 FHD, i7-10875H RTX 3080",,"15.60""",360 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10875H,GeForce RTX 3080 Laptop GPU,2.2 kg,16.9 mm,3100 Euro
