Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Nitro 5 AN515-55-52DV,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Ti Mobile,2.3 kg,23.9 mm,900 Euro
Acer Nitro 5 AN515-55-52HQ,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Ti Mobile,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-55-53E5,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-55-53S8,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-55-5560,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-55-56F5,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Mobile,2.3 kg,23.9 mm,600 Euro
Acer Nitro 5 AN515-55-56GY,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-55-59KS,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Ti Mobile,2.3 kg,23.9 mm,1000 Euro
Acer Nitro 5 AN515-55-71M0,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.3 kg,25.9 mm,
Acer Nitro 5 AN515-55-72GW,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce GTX 1650 Mobile,2.3 kg,23.9 mm,800 Euro
Acer Nitro 5 AN515-55-73Y6,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.3 kg,23.9 mm,1400 Euro
Acer Nitro 5 AN515-55-78WJ,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,1500 Euro
Acer Nitro 5 AN515-56-58CQ,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11300H,GeForce GTX 1650 Mobile,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-56-75HR,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11370H,GeForce GTX 1650 Mobile,2.3 kg,23.9 mm,
"Acer Nitro 5 AN515-57, GTX 1650",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce GTX 1650 Mobile,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-57-505V,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,23.9 mm,650 Euro
Acer Nitro 5 AN515-57-545N,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,1500 Euro
Acer Nitro 5 AN515-57-56HH,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,23.9 mm,920 Euro
Acer Nitro 5 AN515-57-729U,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.3 kg,23.9 mm,1700 Euro
Acer Nitro 5 AN515-57-742V,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.2 kg,23.9 mm,1600 Euro
Acer Nitro 5 AN515-57-77G3,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.2 kg,23.9 mm,1000 Euro
Acer Nitro 5 AN515-57-77QK,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-57-796N,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,23.9 mm,1250 Euro
Acer Nitro 5 AN515-57-79TD,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,23.9 mm,850 Euro
"Acer Nitro 5 AN515-58, i5-12500H RTX 4050",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12500H,NVIDIA GeForce RTX 4050 Laptop GPU,2.5 kg,26.9 mm,
"Acer Nitro 5 AN515-58, i7-12650H RTX 4050",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12650H,NVIDIA GeForce RTX 4050 Laptop GPU,2.5 kg,26.9 mm,
"Acer Nitro 5 AN515-58, R7 6800H RTX 3060",,"15.60""",165 Hz,2560x1440,,,16:9,188 PPI,,R7 6800H,GeForce RTX 3060 Laptop GPU,2 kg,26.5 mm,
Acer Nitro 5 AN515-58-521S,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12500H,GeForce RTX 3050 4GB Laptop GPU,2.5 kg,26.9 mm,750 Euro
Acer Nitro 5 AN515-58-53F4,,"15.60""",165 Hz,1920x1080,,matte,16:9,141 PPI,,i5-12500H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN515-58-54UH,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12450H,GeForce RTX 3050 4GB Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN515-58-58BN,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12500H,GeForce RTX 3050 4GB Laptop GPU,2.5 kg,26.9 mm,1200 Euro
Acer Nitro 5 AN515-58-591S,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-12500H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,900 Euro
Acer Nitro 5 AN515-58-71MH,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,1500 Euro
Acer Nitro 5 AN515-58-72MJ,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,
Acer Nitro 5 AN515-58-72QR,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,303 cd/m²,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.5 kg,26.8 mm,1999 Euro
Acer Nitro 5 AN515-58-72QR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,,,
Acer Nitro 5 AN515-58-72QR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,,,
Acer Nitro 5 AN515-58-72QR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,,,
Acer Nitro 5 AN515-58-730H,,"15.60""",165 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.9 mm,
